        Date        ecHMS_Angle ecSHMS_Angle
2018-01-15 00:00:00       21.99        21.99
2018-01-15 01:43:30       21.99        22.01
2018-01-15 01:43:33       21.99        22.04
2018-01-15 01:43:34       21.99        22.05
2018-01-15 01:43:36       21.99        22.08
2018-01-15 01:43:37       21.99         22.1
2018-01-15 01:43:38       21.99        22.12
2018-01-15 01:43:39       21.99        22.14
2018-01-15 01:43:40       21.99        22.16
2018-01-15 01:43:41       21.99        22.19
2018-01-15 01:43:42       21.99        22.21
2018-01-15 01:43:43       21.99        22.25
2018-01-15 01:43:44       21.99        22.27
2018-01-15 01:43:45       21.99        22.31
2018-01-15 01:43:46       21.99        22.33
2018-01-15 01:43:47       21.99        22.37
2018-01-15 01:43:48       21.99        22.42
2018-01-15 01:43:49       21.99        22.45
2018-01-15 01:43:50       21.99        22.47
2018-01-15 01:43:51       21.99        22.54
2018-01-15 01:43:52       21.99        22.58
2018-01-15 01:43:53       21.99        22.61
2018-01-15 01:43:54       21.99        22.67
2018-01-15 01:43:55       21.99        22.73
2018-01-15 01:43:56       21.99        22.75
2018-01-15 01:43:57       21.99        22.79
2018-01-15 01:43:58       21.99        22.86
2018-01-15 01:43:59       21.99         22.9
2018-01-15 01:44:01       21.99           23
2018-01-15 01:44:02       21.99        23.04
2018-01-15 01:44:03       21.99        23.06
2018-01-15 01:44:04       21.99        23.12
2018-01-15 01:44:05       21.99        23.18
2018-01-15 01:44:06       21.99         23.2
2018-01-15 01:44:07       21.99        23.26
2018-01-15 01:44:08       21.99        23.31
2018-01-15 01:44:09       21.99        23.38
2018-01-15 01:44:10       21.99        23.41
2018-01-15 01:44:11       21.99        23.44
2018-01-15 01:44:12       21.99        23.49
2018-01-15 01:44:13       21.99        23.53
2018-01-15 01:44:14       21.99        23.57
2018-01-15 01:44:15       21.99        23.62
2018-01-15 01:44:16       21.99        23.69
2018-01-15 01:44:17       21.99        23.74
2018-01-15 01:44:19       21.99        23.81
2018-01-15 01:44:20       21.99        23.87
2018-01-15 01:44:21       21.99        23.91
2018-01-15 01:44:23       21.99        23.99
2018-01-15 01:44:24       21.99        24.05
2018-01-15 01:44:25       21.99        24.09
2018-01-15 01:44:26       21.99         24.1
2018-01-15 01:44:27       21.99        24.17
2018-01-15 01:44:28       21.99        24.22
2018-01-15 01:44:29       21.99        24.25
2018-01-15 01:44:30       21.99         24.3
2018-01-15 01:44:31       21.99        24.35
2018-01-15 01:44:32       21.99        24.39
2018-01-15 01:44:33       21.99        24.43
2018-01-15 01:44:34       21.99         24.5
2018-01-15 01:44:35       21.99        24.54
2018-01-15 01:44:36       21.99        24.57
2018-01-15 01:44:37       21.99        24.61
2018-01-15 01:44:38       21.99        24.67
2018-01-15 01:44:39       21.99        24.72
2018-01-15 01:44:40       21.99        24.75
2018-01-15 01:44:41       21.99        24.79
2018-01-15 01:44:42       21.99        24.86
2018-01-15 01:44:43       21.99        24.91
2018-01-15 01:44:44       21.99        24.93
2018-01-15 01:44:45       21.99        24.98
2018-01-15 01:44:45       21.99        25.03
